Section,Section_1,Keyword,L1,L2
268,268_0,public nuisance,public nuisance, 
269,269_0,negligent act spread infection disease dangerous life,negligent spread infection disease,dangerous life
270,270_0,malignant act spread infection disease dangerous life,malignant spread infection disease,dangerous life
271A,271 A_0,disobeys quarantine rule vessel,violation rule vessel, 
272,272_1,adulteration intended sale drink,adulteration intended sale,drink
272,272_0,adulteration intended sale food,adulteration intended sale,food
273,273_1,sale noxious  drink,noxious sale,drink
273,273_0,sale noxious food,noxious sale,food
274,274_0,adulteration drugs,adulteration drugs, 
275,275_0,sale adulteration drugs,sale adulteration drugs, 
276,276_1,sale drugs medicinal purposes different  medical preparation,sale different drug medical preparation,medicinal purposes 
276,276_0,sale drugs medicinal purposes different drug ,sale different drug ,medicinal purposes 
277,277_1,fouling water  reservoir,fouling water  reservoir, 
277,277_0,fouling water public spring ,fouling water public spring , 
278,278_0,making atmosphere noxious health,making atmosphere noxious ,health
279,279_0,diving public way  negligent endanger human life,diving negligent endanger human life,public way 
279,279_1,diving public way rash endanger human life,diving rash endanger human life,public way 
279,279_2,diving public way  negligent hurt,diving negligent hurt,public way 
279,279_3,diving public way rash hurt,diving rash hurt,public way 
279,279_4,diving public way  negligent  injury,diving negligent  injury,public way 
279,279_5,diving public way rash   injury,diving rash   injury,public way 
280,280_1,navigation vessel  negligent endanger human life,navigation vessel  negligent endanger human life, 
280,280_2,navigation vessel rash endanger human life,navigation vessel rash endanger human life, 
280,280_3,navigation vessel  negligent hurt,navigation vessel  negligent hurt, 
280,280_4,navigation vessel rash hurt,navigation vessel rash hurt, 
280,280_5,navigation vessel  negligent  injury,navigation vessel  negligent  injury, 
280,280_0,navigation vessel rash  injury,navigation vessel rash  injury, 
281,281_2,exhibition mislead navigator  buoy,exhibition mislead navigator  buoy, 
281,281_1,exhibition mislead navigator  mark ,exhibition mislead navigator  mark , 
281,281_0,exhibition mislead navigator false light,exhibition mislead navigator false light, 
282,282_1,negligently conveying person water endanger human hire  vessel  overloaded,negligently conveying person water endanger human hire  vessel  overloaded, 
282,282_0,negligently conveying person water endanger human hire  vessel unsafe ,negligently conveying person water endanger human hire  vessel unsafe , 
283,283_1,public way  obstruction,public way  obstruction, 
283,283_0,public way danger ,public way danger , 
284,284_0,negligent conduct poisonous substance,negligent conduct poisonous , 
285,285_1,negligent conduct  combustible matter,negligent conduct  combustible matter, 
285,285_0,negligent conduct fire ,negligent conduct fire , 
286,286_0,negligent conduct explosive substance,negligent conduct explosive , 
287,287_0,negligent conduct machinery,negligent conduct machinery, 
288,288_1,negligent conduct  repairing buildings,negligent conduct  repairing buildings, 
288,288_0,negligent conduct pulling down,negligent conduct pulling down, 
289,289_0,negligent conduct animal,negligent conduct animal, 
290,290_0,nuisance,nuisance, 
291,291_0,continuance nuisance after injunction discontinue,nuisance, 
292,292_4,sale obscene  drawing,sale obscene  drawing, 
292,292_3,sale obscene  pamphlet,sale obscene  pamphlet, 
292,292_2,sale obscene  paper,sale obscene  paper, 
292,292_1,sale obscene  writing,sale obscene  writing, 
292,292_0,sale obscene book,sale obscene book, 
292A,292 A_2,printing blackmail  matter intended,printing blackmail  matter intended, 
292A,292 A_1,printing blackmail  scurrilous matter ,printing blackmail  scurrilous matter , 
292A,292 A_0,printing blackmail grossly indecent ,printing blackmail grossly indecent , 
293,293_0,sale obscene objects young person,sale obscene objects young person, 
294,294_1,obscene  songs,obscene  songs, 
294,294_0,obscene acts ,obscene acts , 
294A,294 A_1,keeping lottery  place,keeping lottery  place, 
294A,294 A_0,keeping lottery office,keeping lottery office, 
295,295_1,insult religion  defiling place worship,insult religion  defiling place worship, 
295,295_0,insult religion injuring ,insult religion injuring , 
295A,295 A_0,insult religion,insult religion, 
296,296_0,insult religion disturbing religious assembly,insult religion disturbing religious assembly, 
297,297_3,insult religion trespassing  depository remains dead,insult religion trespassing  depository remains dead, 
297,297_2,insult religion trespassing  funeral rites,insult religion trespassing  funeral rites, 
297,297_1,insult religion trespassing  sculpture,insult religion trespassing  sculpture, 
297,297_0,insult religion trespassing worship,insult religion trespassing worship, 
298,298_2,"insult religion wound the religious
feelings  makes gesture","insult religion wound  religious
feelings  makes gesture", 
298,298_1,"insult religion wound the religious
feelings makes sound hearing ","insult religion wound  religious
feelings makes sound hearing ", 
298,298_0,"insult religion wound the religious
feelings utters any word ","insult religion wound  religious
feelings utters any word ", 
299,299_0,homicide,homicide, 
300,300_0,homicide,homicide, 
301,301_0,homicide,homicide, 
302,302_0,homicide,homicide, 
303,303_0,homicide,homicide, 
304,304_0,homicide,homicide, 
304A,304 A_1,death  rash act,death  rash act, 
304A,304 A_0,death negligence,death negligence, 
304B,304 B_3,death husband relative  harassment,death harassment,husband relative
304B,304 B_2,death husband relative cruelty,death cruelty,husband relative 
304B,304 B_1,dowry death  bodily injury,dowry death  bodily injury, 
304B,304 B_0,dowry death burns,dowry death burns, 
305,305_3,abetment suicide  idiot,abetment suicide  idiot, 
305,305_2,abetment suicide  insane person,abetment suicide  insane person, 
305,305_1,abetment suicide  intoxication,abetment suicide  intoxication, 
305,305_0,abetment suicide child,abetment suicide child, 
306,306_0,abetment suicide,abetment suicide, 
307,307_0,attempt murder,attempt murder, 
308,308_0,attempt commit culpable homicide,attempt commit culpable homicide, 
309,309_0,attempt commit suicide,attempt commit suicide, 
310,310_1,murder  child stealing,murder  child stealing, 
310,310_0,murder robbery,murder robbery, 
311,311_0,Thug,Thug, 
312,312_0,miscarriage,miscarriage, 
313,313_0,miscarriage without woman's consent,miscarriage without consent,woman's
314,314_0,death miscarriage without woman's consent,death miscarriage without consent,woman's
315,315_1,act  die after birth,die after child birth, 
315,315_0,act prevent child born alive,prevent child born alive, 
316,316_0,death quick unborn child,death quick unborn child, 
317,317_1,abandonment child  person having care,abandonment child  person having care, 
317,317_0,abandonment child parent ,abandonment child parent , 
318,318_2,secret disposal dead body conceal birth  child die after birth ,secret disposal dead body conceal birth  child die after birth , 
318,318_1,secret disposal dead body conceal birth child die before birth,secret disposal dead body conceal birth child die before birth, 
318,318_0,secret disposal dead body conceal birth child die during birth,secret disposal dead body conceal birth child die during birth, 
319,319_2,hurt  disease ,hurt  disease , 
319,319_1,hurt  infirmity,hurt  infirmity, 
319,319_0,hurt bodily pain,hurt bodily pain, 
320A,320 A_0,grievous hurt emasculation,grievous hurt emasculation, 
320B,320 B_0,grievous hurt permanent privation sight eye,grievous hurt eye,permanent privation sight
320C,320 C_0,grievous hurt permanent privation hearing ear,grievous hurt ear,permanent privation hearing
320D,320 D_0,grievous hurt privation joint,grievous hurt  joint,privation
320E,320 E_0,grievous hurt destruction impairing joint permanent impairing joint,grievous hurt  joint,destruction impairing joint permanent impairing
320F,320 F_1,grievous hurt  permanent disfiguration face,grievous hurt face,permanent disfiguration
320F,320 F_0,grievous hurt permanent disfiguration head ,grievous hurt  head ,permanent disfiguration
320G,320 G_2,grievous hurt  dislocation  bone ,grievous hurt   bone ,dislocation
320G,320 G_1,grievous hurt  tooth,grievous hurt  tooth, 
320G,320 G_0,grievous hurt fracture ,grievous hurt fracture , 
320H,320 H_2,grievous hurt  causes sufferer during space twenty days severe bodily pain,grievous hurt  bodily pain,causes sufferer during space twenty days severe 
320H,320 H_1,grievous hurt  uble follow ordiry pursuits,grievous hurt pursuits,uble follow ordiry
320H,320 H_0,grievous hurt hurt endangers life ,grievous hurt endangers life , 
321,321_0,hurt,hurt, 
322,322_0,grievous hurt,Grievous hurt, 
323,323_0,hurt,hurt, 
324,324_0,hurt dangerous weapons,hurt dangerous weapons, 
325,325_0,grievous hurt,grievous hurt, 
326,326_1,grievous hurt  acid,grievous hurt  acid, 
326,326_0,grievous hurt dangerous weapons,grievous hurt dangerous weapons, 
327,327_1,hurt  constrain illegal act,hurt  constrain illegal act, 
327,327_0,hurt extort property,hurt extort property, 
328,328_0,hurt by means of poison with intent commit offence,hurt by means of poison with intent commit offence, 
329,329_1,grievous hurt  constrain illegal act,grievous hurt  constrain illegal act, 
329,329_0,grievous hurt extort property,grievous hurt extort property, 
330,330_1,hurt  compel restoration property,hurt  compel restoration property, 
330,330_0,hurt extort confession,hurt extort confession, 
331,331_1,grievous hurt  compel restoration property,grievous hurt  compel restoration property, 
331,331_0,grievous hurt extort confession,grievous hurt extort confession, 
332,332_0,hurt deter public servant from his duty,hurt deter public servant from his duty, 
333,333_0,grievous hurt deter public servant from his duty,grievous hurt deter public servant from his duty, 
334,334_0,hurt provocation,hurt provocation, 
335,335_0,grievous hurt provocation,grievous hurt provocation, 
336,336_1,rashly negligently  persol safety others,rashly negligently  persol safety, 
336,336_0,rashly negligently endangering life,rashly negligently endangering life, 
337,337_1,hurt rashly negligently  persol safety others,hurt rashly negligently  persol safety, 
337,337_0,hurt rashly negligently endangering life,hurt rashly negligently endangering life, 
338,338_1,grievous hurt rashly negligently  persol safety others,grievous hurt rashly negligently  persol safety, 
338,338_0,grievous hurt rashly negligently endangering life,grievous hurt rashly negligently endangering life, 
339,339_0,wrongful restraint obstructs,wrongful restraint obstructs, 
340,340_0,wrongful confinement,wrongful confinement, 
341,341_0,wrongful confinement,wrongful confinement, 
342,342_0,wrongful restraint,wrongful restraint, 
343,343_0,wrongful confinement 3 days,wrongful confinement 3 days, 
344,344_0,wrongful confinement 10 days,wrongful confinement 10 days, 
345,345_0,wrongful confinement liberation writ issued,wrongful confinement liberation writ issued, 
346,346_0,wrongful confinement secret,wrongful confinement secret, 
347,347_1,wrongful confinement  constrain illegal act,wrongful confinement  constrain illegal act, 
347,347_0,wrongful confinement extort property,wrongful confinement extort property, 
348,348_1,wrongful confinement  compel restoration property,wrongful confinement  compel restoration property, 
348,348_0,wrongful confinement extort confession,wrongful confinement extort confession, 
349,349_0,force,force, 
350,350_0,force,force, 
351,351_0,assault,assault, 
352,352_0,assault,assault, 
353,353_0,"assault deter public servant discharge 
duty","assault deter public servant discharge 
duty", 
354,354_0,assault woman sexual harassment intent outrage modesty,assault woman sexual harassment intent outrage modesty, 
355,355_1,assault  grave provocation,assault  grave provocation, 
355,355_0,assault intent dishonor person,assault intent dishonor person, 
356,356_0,assault attempt commit theft property,assault attempt commit theft property, 
357,357_0,assault attempt wrongfully confine,assault attempt wrongfully confine, 
358,358_0,assault grave provocation,assault grave provocation, 
359,359_1,kidnapping  lawful guardianship,kidnapping  lawful guardianship, 
359,359_0,kidnapping india,kidnapping india, 
360,360_0,kidnapping india without consent,kidnapping india without consent, 
361,361_0,kidnapping lawful guardianship minor without consent,kidnapping lawful guardianship minor without consent, 
362,362_1,abduction  deceitful means induces,abduction  deceitful means induces, 
362,362_0,abduction force compels,abduction force compels, 
363,363_0,kidnapping,kidnapping, 
363A,363 A_0,kidnapping minor purposes begging,kidnapping minor purposes begging, 
364,364_0,kidnapping order murder,kidnapping order murder, 
364A,364 A_0,kidnapping ransom,kidnapping ransom, 
365,365_0,kidnapping intent secretly wrongfully confine person,kidnapping intent secretly wrongfully confine, 
366,366_0,kidnapping woman compel marriage,kidnapping woman compel marriage, 
366A,366 A_0,procuration minor girl,procuration minor girl, 
366B,366 B_0,importation girl foreign country,importation girl foreign country, 
367,367_1,kidnapping  slavery,kidnapping  slavery, 
367,367_0,kidnapping grievous hurt,kidnapping grievous hurt, 
368,368_1,knowing wrongfully concealing confinement person  abducted,knowing wrongfully concealing confinement abducted,person
368,368_0,knowing wrongfully concealing confinement person kidpped ,knowing wrongfully concealing confinement kidpped ,person
369,369_0,kidnapping child under ten years with intent steal,kidnapping intent steal, 
370,370_5,slave against his will  buys,slave against will buys, 
370,370_4,slave against his will  disposes,slave against will disposes, 
370,370_3,slave against his will  exports,slave against will exports, 
370,370_2,slave against his will  removes,slave against will removes, 
370,370_1,slave against his will  sells ,slave against will sells , 
370,370_0,slave against his will imports,slave against will imports, 
371,371_6,habitual slave  buys,habitual slave buys, 
371,371_5,habitual slave  disposes,habitual slave disposes, 
371,371_4,habitual slave  exports,habitual slave exports, 
371,371_3,habitual slave  removes,habitual slave removes, 
371,371_2,habitual slave  sells ,habitual slave sells , 
371,371_1,habitual slave  traffics,habitual slave traffics, 
371,371_0,habitual slave imports,habitual slave imports, 
372,372_0,selling minor purposes prostitution,selling minor purposes prostitution, 
373,373_0,buying minor purposes prostitution,buying minor purposes prostitution, 
374,374_0,unlawful compulsory labour,unlawful compulsory labour, 
375A,375 A_0,rape against will,rape against will, 
375B,375 B_0,rape without consent,rape without consent, 
375C,375 C_1,rape with consent fear death ,rape with consent fear death , 
375C,375 C_0,rape with consent hurt,rape with consent hurt, 
375D,375 D_0,rape with consent believes lawfully married,rape with consent believes lawfully married, 
375E,375 E_3,rape with consent  intoxication,rape with consent  intoxication, 
375E,375 E_2,rape with consent  stupefying ,rape with consent  stupefying , 
375E,375 E_1,rape with consent  unwholesome substance,rape with consent  unwholesome substance, 
375E,375 E_0,rape with consent unsoundness mind ,rape with consent unsoundness mind , 
375F,375 F_0,rape,rape, 
376,376_0,rape,rape, 
376A,376 A_0,rape wife separation,rape wife separation, 
376B,376 B_0,rape public servant custody,rape custody,public servant
376C,376 C_1,rape  remand home,rape remand home, 
376C,376 C_0,rape jail,rape jail,superintendent 
376D,376 D_1,rape hospital  staff,rape hospital,wardboy doctor staff
376D,376 D_0,rape hospital member magement ,rape hospital,member magement 
377,377_0,intercourse against order nature,Unnatural offences, 
503,503_2,criminal intimidation threatens  property,criminal intimidation threatens  property, 
503,503_1,criminal intimidation threatens  reputation,criminal intimidation threatens  reputation, 
503,503_0,criminal intimidation threatens injury,criminal intimidation threatens injury, 
504,504_0,intentional insult intent provoke breach peace,intentional insult intent provoke breach peace, 
505A,505 A_3,disturbance statements conducting public mischief disregard duty officer,disturbance statements conducting,public mischief disregard duty officer
505A,505 A_2,disturbance statements conducting public mischief fail duty officer,disturbance statements conducting,public mischief fail duty officer
505A,505 A_1,disturbance statements conducting public mischief disregard duty  soldier,disturbance statements conducting,public mischief disregard duty  soldier
505A,505 A_0,disturbance statements conducting public mischief fail duty  soldier,disturbance statements conducting,public mischief fail duty  soldier
505B,505 B_5,disturbance statements conducting public mischief  alarm state,disturbance statements conducting,public mischief  alarm state
505B,505 B_4,disturbance statements conducting public mischief  fear state,disturbance statements conducting,public mischief  fear state
505B,505 B_3,disturbance statements conducting public mischief cause state,disturbance statements conducting,public mischief cause state
505B,505 B_2,disturbance statements conducting public mischief  alarm  against public,disturbance statements conducting,public mischief  alarm  against public
505B,505 B_1,disturbance statements conducting public mischief  fear  against public,disturbance statements conducting,public mischief  fear  against public
505B,505 B_0,disturbance statements conducting public mischief cause  against public,disturbance statements conducting,public mischief cause  against public
505C,505 C_0,disturbance statements conducting public mischief offence against community,disturbance statements conducting,public mischief offence against community
505D,505 D_3,disturbance statements conducting public mischief between community  hatred ,disturbance statements conducting,public mischief between community  hatred 
505D,505 D_2,disturbance statements conducting public mischief between community  ill-will,disturbance statements conducting,public mischief between community  ill-will
505D,505 D_1,disturbance statements conducting public mischief between community  promoting enmity,disturbance statements conducting,public mischief between community  promoting enmity
505D,505 D_0,disturbance statements conducting public mischief between community creating ,disturbance statements conducting,public mischief between community creating 
505E,505 E_2,disturbance statements conducting public mischief  assembly engaged performance religious worship,disturbance statements conducting,public mischief  assembly engaged performance religious worship
505E,505 E_1,disturbance statements conducting public mischief  religious ceremonies,disturbance statements conducting,public mischief  religious ceremonies
505E,505 E_0,disturbance statements conducting public mischief place of worship,disturbance statements conducting,public mischief place of worship
506,506_0,criminal intimidation,criminal intimidation, 
506,506_1,threat death,threat death,intimidation
506,506_2,threat grievous hurt,threat grievous hurt,intimidation
507,507_0,criminal intimidation anonymous communication,intimidation,intimidation
508,508_0,act inducing person believe rendered object ,divine displeasure,act inducing person believe rendered object 
509,509_2,insult modesty woman  act,insult modesty act,woman
509,509_1,insult modesty woman  gesture,insult modesty gesture, 
509,509_0,insult modesty woman word,insult modesty word, 
510,510_0,disturbance misconduct public drunken person,disturbance misconduct  drunken person,public place
